YEAR,POINTS,REB,AST
2009-10,2258,554,651
2010-11,2111,590,554
2011-12,1683,492,387
2012-13,2036,610,551
2013-14,2089,533,488
2014-15,1743,416,511
2015-16,1920,565,514
2016-17,1954,639,646
2017-18,2251,709,747
2018-19,1505,465,454
2019-20,1698,525,684
2020-21,1126,346,3350
2021-22,1695,459,349
2022-23,1590,357,375
